lsb,clf,accuracy,recall,precision,f1,conf_mat
1,HistGradientBoosting,0.1035,0.094,0.09582059123343527,0.09490156486622918,"[[113 887]
 [906  94]]"
1,GradientBoosting,0.33,0.291,0.3156182212581345,0.3028095733610822,"[[369 631]
 [709 291]]"
1,RandomForest,0.096,0.092,0.09274193548387097,0.0923694779116466,"[[100 900]
 [908  92]]"
2,HistGradientBoosting,0.105,0.092,0.0944558521560575,0.09321175278622088,"[[118 882]
 [908  92]]"
2,GradientBoosting,0.3355,0.276,0.3132803632236095,0.2934609250398724,"[[395 605]
 [724 276]]"
2,RandomForest,0.096,0.08,0.08264462809917356,0.08130081300813008,"[[112 888]
 [920  80]]"
3,HistGradientBoosting,0.105,0.087,0.09024896265560166,0.08859470468431772,"[[123 877]
 [913  87]]"
3,GradientBoosting,0.3375,0.302,0.32508073196986004,0.3131156039398652,"[[373 627]
 [698 302]]"
3,RandomForest,0.096,0.084,0.0860655737704918,0.08502024291497975,"[[108 892]
 [916  84]]"
4,HistGradientBoosting,0.104,0.091,0.09342915811088295,0.09219858156028368,"[[117 883]
 [909  91]]"
4,GradientBoosting,0.3385,0.283,0.31833520809898763,0.29962943356273164,"[[394 606]
 [717 283]]"
4,RandomForest,0.096,0.096,0.096,0.096,"[[ 96 904]
 [904  96]]"
5,HistGradientBoosting,0.104,0.101,0.10160965794768612,0.10130391173520562,"[[107 893]
 [899 101]]"
5,GradientBoosting,0.334,0.274,0.31136363636363634,0.2914893617021277,"[[394 606]
 [726 274]]"
5,RandomForest,0.096,0.094,0.09437751004016064,0.09418837675350702,"[[ 98 902]
 [906  94]]"
6,HistGradientBoosting,0.1075,0.098,0.0998980632008155,0.09893992932862192,"[[117 883]
 [902  98]]"
6,GradientBoosting,0.3495,0.258,0.3157894736842105,0.28398458998348924,"[[441 559]
 [742 258]]"
6,RandomForest,0.096,0.088,0.08943089430894309,0.08870967741935483,"[[104 896]
 [912  88]]"
7,HistGradientBoosting,0.106,0.096,0.09795918367346938,0.09696969696969698,"[[116 884]
 [904  96]]"
7,GradientBoosting,0.339,0.279,0.3170454545454545,0.2968085106382979,"[[399 601]
 [721 279]]"
7,RandomForest,0.096,0.088,0.08943089430894309,0.08870967741935483,"[[104 896]
 [912  88]]"
8,HistGradientBoosting,0.106,0.09,0.09297520661157024,0.09146341463414634,"[[122 878]
 [910  90]]"
8,GradientBoosting,0.3405,0.271,0.3147502903600465,0.2912412681354111,"[[410 590]
 [729 271]]"
8,RandomForest,0.096,0.1,0.0992063492063492,0.09960159362549799,"[[ 92 908]
 [900 100]]"
9,HistGradientBoosting,0.105,0.086,0.0893970893970894,0.08766564729867482,"[[124 876]
 [914  86]]"
9,GradientBoosting,0.344,0.286,0.3235294117647059,0.3036093418259023,"[[402 598]
 [714 286]]"
9,RandomForest,0.096,0.089,0.09026369168356999,0.08962739174219538,"[[103 897]
 [911  89]]"
10,HistGradientBoosting,0.106,0.092,0.09465020576131687,0.09330628803245437,"[[120 880]
 [908  92]]"
10,GradientBoosting,0.3605,0.311,0.34517203107658156,0.32719621251972647,"[[410 590]
 [689 311]]"
